pap_ref,total_take,rate_per_acre,land_interest,tenure
DOH0001,0.0373,6000000,90,CUSTOMARY
DOH0002,0.0373,6000000,10,TENANT 
DOH0003,0.0137,6000000,100,CUSTOMARY
DOH0004,0.039,8000000,100,LEASEHOLD
DOH0005,3.3122,8000000,90,LEASEHOLD
DOH0006,0.0975,8000000,10,TENANT 
DOH0007,0.0599,8000000,10,TENANT 
DOH0008,0.0578,8000000,10,TENANT 
DOH0009,0.0612,8000000,10,TENANT 
DOH0010,0.0652,8000000,10,TENANT 
DOH0011,0.064,8000000,10,TENANT 
DOH0012,0.1159,8000000,10,TENANT 
DOH0013,0.0617,8000000,10,TENANT 
DOH0014,0.061,8000000,10,TENANT 
DOH0015,0.1182,8000000,10,TENANT 
DOH0016,0.0609,8000000,10,TENANT 
DOH0017,0.0562,8000000,10,TENANT 
DOH0018,0.0618,8000000,10,TENANT 
DOH0019,0.1179,8000000,10,TENANT 
DOH0020,0.0634,8000000,10,TENANT 
DOH0021,0.1191,8000000,10,TENANT 
DOH0022,0.1199,8000000,10,TENANT 
DOH0023,0.1236,8000000,10,TENANT 
DOH0024,0.0591,8000000,10,TENANT 
DOH0025,0.0627,8000000,10,TENANT 
DOH0026,0.0626,8000000,10,TENANT 
DOH0027,0.0497,8000000,10,TENANT 
DOH0028,0.0119,8000000,10,TENANT 
DOH0029,0.0656,8000000,10,TENANT 
DOH0030,0.1295,8000000,10,TENANT 
DOH0031,0.1236,8000000,10,TENANT 
DOH0032,0.0669,8000000,10,TENANT 
DOH0033,0.0646,8000000,10,TENANT 
DOH0034,0.0654,8000000,10,TENANT 
DOH0035,0.056,8000000,10,TENANT 
DOH0036,0.1946,8000000,10,TENANT 
DOH0037,0.0614,8000000,10,TENANT 
DOH0038,0.067,8000000,10,TENANT 
DOH0039,0.0521,8000000,10,TENANT 
DOH0040,0.0378,8000000,10,TENANT 
DOH0041,0.0035,8000000,10,TENANT 
DOH0042,0.0023,8000000,10,TENANT 
DOH0043,0.084,8000000,10,TENANT 
DOH0044,0.0719,8000000,10,TENANT 
DOH0045,0.0613,8000000,10,TENANT 
DOH0046,0.0627,8000000,10,TENANT 
DOH0047,0.0515,8000000,10,TENANT 
DOH0048,0.0518,8000000,10,TENANT 
DOH0049,0.0481,8000000,10,TENANT 
DOH0050,0.0534,8000000,10,TENANT 
DOH0051,0.0515,8000000,10,TENANT 
DOH0052,0.0545,8000000,10,TENANT 
DOH0053,3.4869,8000000,90,LEASEHOLD
DOH0054,0.0231,8000000,10,TENANT 
DOH0055,0.0598,8000000,10,TENANT 
DOH0056,0.0725,8000000,10,TENANT 
DOH0057,0.0501,8000000,10,TENANT 
DOH0058,0.0586,8000000,10,TENANT 
DOH0059,0.1168,8000000,10,TENANT 
DOH0060,0.0694,8000000,10,TENANT 
DOH0061,0.0588,8000000,10,TENANT 
DOH0062,0.0622,8000000,10,TENANT 
DOH0063,0.0568,8000000,10,TENANT 
DOH0064,0.059,8000000,10,TENANT 
DOH0065,0.1167,8000000,10,TENANT 
DOH0066,0.0596,8000000,10,TENANT 
DOH0067,0.0565,8000000,10,TENANT 
