ID,Rate per Acre
13364,14000000
13369,14000000
13377,14000000
13380,14000000
13381,14000000
13382,14000000
13383,14000000
13384,14000000
13385,14000000
13386,14000000
13387,14000000
13388,14000000
13389,14000000
13390,14000000
13391,14000000
13392,14000000
13393,14000000
13394,14000000
13395,14000000
13396,14000000
13397,14000000
13398,14000000
13399,14000000
13400,14000000
13401,14000000
13402,14000000
13403,14000000
13404,14000000
13405,14000000
13406,14000000
13407,14000000
13408,14000000
13409,16000000
13410,16000000
13411,16000000
13412,16000000
13413,16000000
13414,16000000
13415,16000000
13416,16000000
13417,16000000
13418,16000000
13419,16000000
13430,18000000
13431,18000000
13432,18000000
13433,18000000
13434,18000000
13435,18000000
13436,18000000
13437,18000000
13438,18000000
13439,18000000
13440,18000000
13441,18000000
13442,18000000
13443,18000000
13444,18000000
13445,18000000
13446,18000000
13447,18000000
13448,18000000
13449,18000000
13450,18000000
13451,18000000
13452,18000000
13453,18000000
13454,18000000
13455,18000000
13456,18000000
13457,18000000
13458,18000000
13459,18000000
13460,18000000
13461,18000000
13462,18000000
13463,18000000
13464,18000000
13465,18000000
13466,18000000
13467,18000000
13468,18000000
13469,18000000
13470,18000000
13471,18000000
13472,18000000
13473,18000000
13474,18000000
13475,18000000
13476,18000000
13477,18000000
13478,18000000
13479,18000000
13480,18000000
13481,18000000
13482,18000000
13483,18000000
13484,18000000
13485,18000000
13486,18000000
13487,18000000
13488,18000000
13489,18000000
13490,18000000
13491,18000000
13492,18000000
13493,16000000
13494,16000000
13495,16000000
13496,16000000
13497,16000000
13498,16000000
13499,16000000
13500,16000000
13501,16000000
13502,16000000
13503,16000000
13504,16000000
13505,16000000
13506,16000000
13507,16000000
13508,16000000
13509,16000000
13510,16000000
13511,16000000
13512,16000000
13513,16000000
13514,16000000
13515,16000000
13516,16000000
13517,16000000
13518,16000000
13519,16000000
13520,16000000
13521,16000000
13522,16000000
13523,16000000
13524,16000000
13525,18000000
13526,18000000
13527,18000000
13528,18000000
13529,18000000
13530,18000000
13531,18000000
13532,18000000
13533,18000000
13534,18000000
13535,20000000
13536,20000000
13537,20000000
13538,20000000
13539,20000000
13540,18000000
13599,18000000
13541,18000000
13542,18000000
13543,18000000
13544,18000000
13545,18000000
13546,18000000
13547,18000000
13550,18000000
13548,18000000
13549,18000000
13629,18000000
13551,18000000
13552,18000000
13553,18000000
13554,18000000
13555,18000000
13556,18000000
13557,18000000
13558,18000000
13559,18000000
13560,18000000
13561,18000000
13562,18000000
13563,18000000
13564,18000000
13630,18000000
13565,18000000
13566,18000000
13567,18000000
13568,18000000
13569,18000000
13570,18000000
13571,18000000
13572,18000000
13573,18000000
13574,18000000
13575,18000000
13576,18000000
13577,18000000
13578,18000000
13579,18000000
13580,18000000
13581,18000000
13582,18000000
13583,18000000
13584,18000000
13585,18000000
13586,18000000
13587,18000000
13588,18000000
13589,20000000
13590,20000000
13591,20000000
13592,20000000
13593,20000000
13631,20000000
13597,20000000
13594,20000000
13595,20000000
13596,20000000
13632,20000000
13598,20000000
13627,20000000
13628,20000000
13601,20000000
13602,20000000
13603,20000000
13604,20000000
13605,20000000
13606,20000000
13607,20000000
13608,20000000
13609,20000000
13610,20000000
13611,20000000
13612,20000000
13613,20000000
13614,20000000
13615,20000000
13616,20000000
13617,20000000
13618,20000000
13619,20000000
13620,20000000
13621,20000000
13622,20000000
13623,20000000
13624,20000000
13625,20000000
13626,20000000
13635,20000000
13636,20000000
13638,20000000
13640,20000000
13641,20000000
13642,20000000
13644,20000000
13645,20000000
13649,18000000
13651,18000000
13728,18000000
13659,18000000
13661,18000000
13663,18000000
13665,18000000
13667,18000000
13670,18000000
13672,18000000
13674,16000000
13678,16000000
13680,16000000
13681,16000000
13683,16000000
13692,16000000
13694,16000000
13695,16000000
13697,16000000
13698,16000000
13699,16000000
13701,16000000
13703,16000000
13704,16000000
13706,16000000
13707,16000000
13709,16000000
13710,16000000
13712,16000000
13713,16000000
13715,16000000
13717,16000000
13719,16000000
13720,16000000
13721,16000000
13722,16000000
13723,16000000
13724,16000000
13725,16000000
13726,16000000
13727,16000000
13217,16000000
13219,16000000
13220,16000000
13223,16000000
13225,16000000
13227,16000000
13228,16000000
13229,20000000
13231,20000000
13233,20000000
13235,20000000
13237,20000000
13239,20000000
13241,20000000
13243,20000000
13245,20000000
13248,20000000
13251,20000000
13254,20000000
13633,20000000
13634,20000000
13637,20000000
13639,20000000
13643,20000000
13646,20000000
13648,20000000
13650,20000000
13652,20000000
13653,20000000
13654,20000000
13655,20000000
13656,20000000
13657,20000000
13658,20000000
13660,20000000
13662,20000000
13664,20000000
13666,20000000
13668,20000000
13669,20000000
13671,20000000
13673,22000000
13675,22000000
13676,18000000
13677,18000000
13679,18000000
13682,18000000
13684,18000000
13685,18000000
13686,18000000
13687,16000000
13688,16000000
13689,16000000
13690,16000000
13691,16000000
13696,16000000
13693,16000000
13700,16000000
13702,16000000
13705,16000000
13708,16000000
13711,16000000
13714,16000000
13716,16000000
13718,16000000
13729,16000000
13734,16000000
13730,16000000
13731,16000000
13732,18000000
13733,18000000
13735,18000000
13736,18000000
13737,18000000
13740,18000000
13742,18000000
13745,18000000
13747,18000000
13753,18000000
13755,18000000
13760,18000000
13763,18000000
16177,18000000
13768,16000000
13770,16000000
13773,16000000
13776,16000000
13777,16000000
13780,16000000
13782,16000000
13786,16000000
13789,16000000
13792,16000000
13795,16000000
13797,16000000
13801,16000000
13804,16000000
13807,16000000
13810,16000000
13813,16000000
13815,16000000
13819,16000000
13825,16000000
13826,16000000
13829,16000000
13205,12000000
13206,12000000
13207,12000000
13208,12000000
13209,12000000
13210,12000000
13211,12000000
13212,12000000
13213,12000000
13214,12000000
13215,12000000
13216,12000000
13218,12000000
13221,12000000
13222,12000000
13224,12000000
13226,12000000
13230,12000000
13232,12000000
13234,12000000
13236,12000000
13238,12000000
13240,12000000
13242,12000000
13244,12000000
13246,12000000
13247,12000000
13249,12000000
13250,12000000
13252,12000000
13253,12000000
14140,12000000
13275,12000000
13277,12000000
13279,12000000
13282,12000000
13287,12000000
13290,12000000
13292,12000000
13297,12000000
13298,12000000
13301,12000000
13303,12000000
13304,12000000
13307,12000000
13311,12000000
13739,12000000
13738,12000000
13741,12000000
13743,12000000
13744,12000000
13746,12000000
13748,12000000
13749,12000000
13750,14000000
13751,14000000
13752,14000000
13754,14000000
13756,14000000
13757,14000000
13758,14000000
13759,14000000
13761,14000000
13762,14000000
13764,14000000
13766,14000000
13767,14000000
13769,14000000
13771,14000000
13772,14000000
13774,14000000
13775,14000000
13778,16000000
13779,16000000
13781,16000000
13783,16000000
13784,16000000
13785,16000000
13787,16000000
13788,18000000
13790,18000000
13791,18000000
