MUB01,100%,Customary,
MUB02,100%,Customary,
MUB03,100%,Customary,
MUB04,100%,Customary,
MUB05,100%,Customary,
MUB06,100%,Customary,
MUB07,100%,Customary,
MUB08,100%,Customary,
MUB09,100%,Customary,
MUB10,100%,Customary,
MUB11,100%,Customary,
MUB12,85%,Customary,
MUB13,15%,Tenant,
MUB14,100%,Customary,
MUB15,85%,Customary,
MUB16,15%,Tenant,
MUB17,100%,Customary,
MUB18,85%,Freehold,
MUB19,15%,Tenant,
MUB20,15%,Tenant,
MUB21,15%,Tenant,
MUB22,15%,Tenant,
MUB23,15%,Tenant,
MUB24,15%,Tenant,
MUB25,100%,Freehold,
MUB26,85%,Freehold,
MUB27,15%,Tenant,
MUB28,15%,Tenant,
MUB29,15%,Tenant,
MUB30,15%,Tenant,
MUB31,15%,Tenant,
MUB32,15%,Tenant,
MUB33,15%,Tenant,
MUB34,15%,Tenant,
MUB35,100%,Freehold,
MUB36,85%,Freehold,
MUB37,15%,Tenant,
MUB38,85%,Freehold,
MUB39,15%,Tenant,
MUB40,100%,Freehold,
MUB41,85%,Freehold,
MUB42,15%,Tenant,
MUB43,100%,Freehold,
MUB44,100%,Freehold,
MUB45,85%,Freehold,
MUB46,15%,Tenant,
MUB47,100%,Freehold,
MUB48,85%,Freehold,
MUB49,15%,Tenant,
MUB50,15%,Tenant,
MUB51,100%,Freehold,
MUB52,100%,Customary,
MUB53,100%,Customary,
