PAP Ref, LAND RATE (PER ACRE) 
IK0001," 200,000,000 "
IK0002," 200,000,000 "
IK0003," 25,000,000 "
IK0004," 25,000,000 "
IK0005," 25,000,000 "
IK0006," 25,000,000 "
IK0007," 25,000,000 "
IK0008," 25,000,000 "
IK0009," 25,000,000 "
IK0010," 25,000,000 "
IK0011," 25,000,000 "
IK0012," 25,000,000 "
IK0013," 25,000,000 "
IK0014," 25,000,000 "
IK0015," 25,000,000 "
IK0016," 25,000,000 "
IK0017," 25,000,000 "
IK0018," 25,000,000 "
IK0019," 25,000,000 "
IK0020," 25,000,000 "
IK0021," 25,000,000 "
IK0022," 25,000,000 "
IK0023," 25,000,000 "
IK0024," 25,000,000 "
IK0025," 25,000,000 "
IK0026," 25,000,000 "
IK0027," 25,000,000 "
IK0028," 25,000,000 "
IK0029," 25,000,000 "
IK0030," 25,000,000 "
IK0031," 25,000,000 "
IK0032," 25,000,000 "
IK0033," 25,000,000 "
IK0034," 25,000,000 "
IK0035," 25,000,000 "
IK0036," 25,000,000 "
IK0037," 25,000,000 "
IK0038," 25,000,000 "
IK0039," 25,000,000 "
IK0040," 25,000,000 "
IK0041," 25,000,000 "
IK0042," 25,000,000 "
IK0043," 25,000,000 "
IK0044," 25,000,000 "
IK0045," 25,000,000 "
IK0046," 25,000,000 "
IK0047," 15,000,000 "
IK0048," 15,000,000 "
IK0049," 15,000,000 "
IK0050," 15,000,000 "
IK0051," 15,000,000 "
IK0052," 15,000,000 "
IK0053," 15,000,000 "
IK0054," 15,000,000 "
IK0055," 15,000,000 "
IK0056," 15,000,000 "
IK0057," 15,000,000 "
IK0058," 15,000,000 "
IK0059," 15,000,000 "
IK0060," 15,000,000 "
IK0061," 15,000,000 "
IK0062," 15,000,000 "
IK0063," 15,000,000 "
IK0064," 15,000,000 "
IK0065," 15,000,000 "
IK0066," 15,000,000 "
IK0067," 15,000,000 "
IK0068," 15,000,000 "
IK0069," 15,000,000 "
IK0070," 15,000,000 "
IK0071," 15,000,000 "
IK0072," 15,000,000 "
IK0073," 15,000,000 "
IK0074," 15,000,000 "
IK0075," 15,000,000 "
IK0076," 15,000,000 "
IK0077," 15,000,000 "
IK0078," 15,000,000 "
IK0079," 15,000,000 "
IK0080," 15,000,000 "
IK0081," 25,000,000 "
IK0082," 25,000,000 "
IK0083," 25,000,000 "
IK0084," 25,000,000 "
IK0085," 25,000,000 "
IK0086," 25,000,000 "
IK0087," 25,000,000 "
IK0088," 25,000,000 "
IK0089," 25,000,000 "
IK0090," 25,000,000 "
IK0091," 25,000,000 "
IK0092," 25,000,000 "
IK0093," 25,000,000 "
IK0094," 25,000,000 "
IK0095," 25,000,000 "
IK0096," 25,000,000 "
IK0097," 25,000,000 "
IK0098," 25,000,000 "
IK0099," 25,000,000 "
IK0100," 25,000,000 "
IK0101," 25,000,000 "
IK0102," 25,000,000 "
IK0103," 25,000,000 "
IK0104," 25,000,000 "
IK0105," 25,000,000 "
IK0106," 25,000,000 "
IK0107," 25,000,000 "
IK0108," 25,000,000 "
IK0109," 25,000,000 "
IK0110," 25,000,000 "
IK0111," 25,000,000 "
IK0112," 25,000,000 "
IK0113," 25,000,000 "
IK0114," 25,000,000 "
IK0115," 25,000,000 "
IK0116," 25,000,000 "
IK0117," 25,000,000 "
IK0118," 25,000,000 "
IK0119," 25,000,000 "
IK0120," 25,000,000 "
IK0121," 25,000,000 "
IK0122," 25,000,000 "
IK0123," 25,000,000 "
IK0124," 25,000,000 "
IK0125," 25,000,000 "
IK0126," 25,000,000 "
IK0127," 25,000,000 "
IK0128," 25,000,000 "
IK0129," 25,000,000 "
IK0130," 25,000,000 "
IK0131," 25,000,000 "
IK0132," 25,000,000 "
IK0133," 25,000,000 "
IK0134," 20,000,000 "
IK0135," 20,000,000 "
IK0136," 20,000,000 "
IK0137," 20,000,000 "
IK0138," 20,000,000 "
IK0139," 20,000,000 "
IK0140," 20,000,000 "
IK0141," 20,000,000 "
IK0142," 20,000,000 "
IK0143," 20,000,000 "
IK0144," 20,000,000 "
IK0145," 20,000,000 "
IK0146," 20,000,000 "
IK0147," 20,000,000 "
IK0148," 20,000,000 "
IK0149," 20,000,000 "
IK0150," 20,000,000 "
IK0151," 20,000,000 "
IK0152," 20,000,000 "
IK0153," 20,000,000 "
IK0154," 20,000,000 "
IK0155," 20,000,000 "
IK0156," 20,000,000 "
IK0157," 20,000,000 "
IK0158," 20,000,000 "
IK0159," 20,000,000 "
IK0160," 20,000,000 "
IK0161," 20,000,000 "
IK0162," 20,000,000 "
IK0163," 20,000,000 "
IK0164," 20,000,000 "
IK0165," 20,000,000 "
IK0166," 20,000,000 "
IK0167," 20,000,000 "
IK0168," 20,000,000 "
IK0169," 20,000,000 "
IK0170," 20,000,000 "
IK0171," 20,000,000 "
IK0172," 20,000,000 "
IK0173," 20,000,000 "
IK0175," 20,000,000 "
IK0176," 20,000,000 "
IK0177," 20,000,000 "
IK0178," 20,000,000 "
IK0179," 20,000,000 "
IK0180," 20,000,000 "
IK0181," 20,000,000 "
IK0182," 20,000,000 "
IK0183," 20,000,000 "
IK0184," 20,000,000 "
IK0185," 20,000,000 "
IK0186," 20,000,000 "
IK0187," 20,000,000 "
IK0188," 20,000,000 "
IK0189," 20,000,000 "
IK0190," 20,000,000 "
IK0191," 20,000,000 "
IK0192," 20,000,000 "
IK0193," 20,000,000 "
IK0194," 20,000,000 "
IK0195," 20,000,000 "
IK0196," 20,000,000 "
IK0197," 20,000,000 "
IK0198," 20,000,000 "
IK0199," 20,000,000 "
IK0200," 20,000,000 "
IK0201," 20,000,000 "
IK0202," 20,000,000 "
IK0203," 20,000,000 "
IK0204," 20,000,000 "
IK0205," 20,000,000 "
IK0206," 20,000,000 "
IK0207," 20,000,000 "
IK0208," 20,000,000 "
IK0209," 20,000,000 "
IK0210," 20,000,000 "
IK0211," 20,000,000 "
IK0212," 20,000,000 "
IK0213," 20,000,000 "
IK0214," 20,000,000 "
IK0215," 20,000,000 "
IK0216," 20,000,000 "
IK0217," 20,000,000 "
IK0218," 20,000,000 "
IK0219," 20,000,000 "
IK0220," 20,000,000 "
IK0221," 20,000,000 "
IK0222," 20,000,000 "
IK0223," 20,000,000 "
IK0224," 20,000,000 "
IK0225," 20,000,000 "
IK0226," 20,000,000 "
IK0227," 20,000,000 "
IK0228," 20,000,000 "
IK0229," 20,000,000 "
IK0230," 20,000,000 "
IK0231," 20,000,000 "
IK0232," 20,000,000 "
IK0233," 20,000,000 "
IK0234," 20,000,000 "
IK0235," 20,000,000 "
IK0236," 20,000,000 "
IK0237," 20,000,000 "
IK0238," 20,000,000 "
IK0239," 20,000,000 "
IK0240," 20,000,000 "
IK0241," 20,000,000 "
IK0242," 20,000,000 "
IK0243," 20,000,000 "
IK0244," 15,000,000 "
IK0245," 15,000,000 "
IK0246," 15,000,000 "
IK0247," 15,000,000 "
IK0248," 15,000,000 "
IK0249," 15,000,000 "
IK0250," 15,000,000 "
IK0251," 15,000,000 "
IK0252," 15,000,000 "
IK0253," 15,000,000 "
IK0254," 15,000,000 "
IK0255," 15,000,000 "
IK0256," 15,000,000 "
IK0257," 15,000,000 "
IK0258," 15,000,000 "
IK0259," 15,000,000 "
IK0260," 15,000,000 "
IK0261," 15,000,000 "
IK0262," 15,000,000 "
IK0263," 15,000,000 "
IK0264," 15,000,000 "
IK0265," 15,000,000 "
IK0266," 15,000,000 "
IK0267," 15,000,000 "
IK0268," 15,000,000 "
IK0269," 15,000,000 "
IK0270," 15,000,000 "
IK0271," 15,000,000 "
IK0272," 15,000,000 "
IK0273," 15,000,000 "
IK0274," 15,000,000 "
IK0275," 15,000,000 "
IK0276," 15,000,000 "
IK0277," 15,000,000 "
IK0278," 15,000,000 "
IK0279," 15,000,000 "
IK0280," 15,000,000 "
IK0282," 15,000,000 "
IK0283," 15,000,000 "
IK0284," 15,000,000 "
IK0285," 15,000,000 "
IK0286," 15,000,000 "
IK0287," 15,000,000 "
IK0288," 15,000,000 "
IK0289," 15,000,000 "
IK0290," 15,000,000 "
IK0291," 15,000,000 "
