pap_ref,total_take,rate_per_acre,land_interest,tenure
NGE0001,0.0105,3000000,100,Customary
NGE0002,0.115,3000000,100,Customary
NGE0003,0.0304,3000000,100,Customary
NGE0004,0.168,3000000,100,Customary
NGE0005,0.3211,3000000,100,Customary
NGE0006,0.3135,3000000,100,Customary
NGE0007,0.2494,3000000,100,Customary
NGE0008,0.3458,3000000,100,Customary
NGE0009,0.1004,3000000,100,Customary
NGE0010,0.0787,3000000,100,Customary
NGE0011,0.0836,3000000,100,Customary
NGE0012,0.0903,3000000,100,Customary
NGE0013,1.1957,3000000,90,Customary
NGE0014,1.1957,3000000,10,TENANT
NGE0015,0.2586,3000000,100,Customary
NGE0016,4.6452,3000000,90,Customary
NGE0017,4.6452,3000000,10,TENANT
NGE0018,0.069,3000000,100,Customary
NGE0019,0.268,3000000,100,Customary
NGE0020,0.0599,3000000,100,Customary
NGE0021,0.3249,3000000,100,Customary
NGE0022,0.458,3000000,90,Customary
NGE0023,0.458,3000000,10,TENANT
NGE0024,7.5641,3000000,100,customary
NGE0025,1.639,3000000,100,customary
NGE0026,0.0344,3000000,100,customary
NGE0027,0.1104,3000000,100,customary
NGE0028,0.0125,3000000,100,customary
NGE0029,0.0088,3000000,100,customary
NGE0030,0.0105,3000000,100,customary
NGE0031,0.1962,3000000,100,customary
NGE0032,0.0258,3000000,100,customary
NGE0033,0.0176,3000000,100,customary
NGE0034,0.4371,3000000,100,customary
NGE0035,0.085,3000000,100,customary
NGE0036,0.5248,3000000,100,customary
NGE0037,0.3736,3000000,90,customary
NGE0038,0.3736,3000000,10,TENANT
NGE0039,0.135,3000000,90,Customary
NGE0040,0.135,3000000,10,TENANT
NGE0041,0.0515,3000000,100,Customary
NGE0042,0.0949,3000000,100,Customary
NGE0043,0.5532,3000000,100,Customary
NGE0044,0.1552,3000000,100,Customary
NGE0045,0.0825,3000000,100,Customary
NGE0046,0.0451,3000000,100,Customary
NGE0047,0.0573,3000000,100,Customary
NGE0048,0.127,3000000,100,Customary
NGE0049,0.051,3000000,100,Customary
NGE0050,0.0563,3000000,100,Customary
NGE0051,0.0961,3000000,100,Customary
NGE0052,0.0317,3000000,100,Customary
NGE0053,0.0272,3000000,100,Customary
NGE0054,0.0186,3000000,100,Customary
NGE0055,0.044,3000000,100,Customary
NGE0056,0.0122,3000000,100,Customary
NGE0057,0.0054,3000000,100,Customary
NGE0058,0.0088,3000000,100,Customary
NGE0059,0.0979,3000000,100,Customary
NGE0060,0.0837,3000000,100,Customary
NGE0061,0.0013,3000000,100,Customary
NGE0062,0.001,3000000,100,Customary
NGE0063,0.1747,3000000,100,Customary
NGE0064,0.0071,3000000,100,Customary
NGE0065,0.0772,3000000,100,Customary
NGE0066,0.055,3000000,100,Customary
NGE0067,0.2168,3000000,100,Customary
NGE0068,0.0086,3000000,100,Customary
NGE0069,0.0075,3000000,100,Customary
NGE0070,0.0928,3000000,100,Customary
NGE0071,0.0931,3000000,100,Customary
NGE0072,0.0774,3000000,100,Customary
NGE0073,1.3255,3000000,100,Customary
NGE0074,0.5596,3000000,100,Customary
NGE0075,1.3152,3000000,100,Customary
NGE0076,0.3656,3000000,100,Customary
NGE0077,0.9567,3000000,100,Customary
NGE0078,0.1667,3000000,100,Customary
NGE0079,0.126,3000000,100,Customary
NGE0080,0.5854,3000000,100,Customary
NGE0081,0.2094,3000000,100,Customary
NGE0082,0.2642,3000000,100,Customary
NGE0083,0.325,3000000,100,Customary
NGE0084,0.0789,3000000,100,Customary
NGE0085,0.2076,3000000,100,Customary
NGE0086,0.4488,3000000,100,Customary
NGE0087,0.4387,3000000,100,Customary
NGE0088,0.1824,3000000,100,Customary
NGE0089,0.2924,3000000,100,Customary
NGE0090,0.2669,3000000,100,Customary
NGE0091,0.9372,3000000,100,Customary
NGE0092,0.1084,3000000,100,Customary
NGE0093,1.6485,3000000,100,Customary
NGE0094,0.3603,3000000,100,Customary
NGE0095,0.1824,3000000,100,Customary
NGE0096,0.6134,3000000,100,Customary
NGE0097,0.5095,3000000,100,Customary
NGE0098,1.1182,3000000,100,Customary
NGE0099,1.5049,3000000,100,Customary
NGE0100,1.8036,3000000,100,Customary
NGE0101,0.0296,3000000,100,Customary
NGE0102,2.0787,3000000,100,Customary
NGE0103,0.1495,3000000,100,Customary
NGE0104,0.248,3000000,100,Customary
NGE0105,2.3427,3000000,100,Customary
NGE0106,0.0579,3000000,100,Customary
NGE0107,2.8767,3000000,100,Customary
NGE0108,0.4633,3000000,100,Customary
NGE0109,0.1891,3000000,100,Customary
NGE0110,3.1069,3000000,100,Customary
NGE0111,1.3163,3000000,100,Customary
NGE0112,0.2874,3000000,100,Customary
NGE0113,2.0243,3000000,100,Customary
NGE0114,0.0372,3000000,100,Customary
NGE0115,1.3163,3000000,100,Customary
NGE0116,0.2874,3000000,100,Customary
